Playing History Audit 'gaiggibeliin' from 2019/01/01 12:00 AM to 2019/01/30 11:59 PM,,,,,,,,,,,,
Transaction Details,Individual Transaction Amounts,Running Balance,,,,,,,,,,
Date/Time,Action,Table Name / Player / Tournament #,Game,Account Currency,Amount,Accrued StarsCoin,T Money,W Money,Balance,Total Accrued StarsCoin After this Transaction,T Money2,W Money3
3.1.2019 19:09,Chest Reward,614471421,,EUR,0,14,0,0,0,"2,990.97",0,0
3.1.2019 19:09,Chest Reward,614471466,,EUR,0,42,0,0,0,"3,032.97",0,0
4.1.2019 21:41,Table Buy In (Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"12,348.44","3,032.97",0,0
4.1.2019 21:41,Table Buy In (Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"12,148.44","3,032.97",0,0
4.1.2019 21:41,Table Buy In (Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"11,948.44","3,032.97",0,0
4.1.2019 21:41,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2,0,0,0,"11,946.44","3,032.97",0,0
4.1.2019 21:41,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"11,945.44","3,032.97",0,0
4.1.2019 21:42,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-7,0,0,0,"11,938.44","3,032.97",0,0
4.1.2019 21:46,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-10.38,0,0,0,"11,928.06","3,032.97",0,0
4.1.2019 21:47,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-82.89,0,0,0,"11,845.17","3,032.97",0,0
4.1.2019 21:50,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-4.03,0,0,0,"11,841.14","3,032.97",0,0
4.1.2019 21:50,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"11,840.14","3,032.97",0,0
4.1.2019 21:51,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-21.25,0,0,0,"11,818.89","3,032.97",0,0
4.1.2019 21:51,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"11,618.89","3,032.97",0,0
4.1.2019 21:52,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"11,617.89","3,032.97",0,0
4.1.2019 21:52,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2,0,0,0,"11,615.89","3,032.97",0,0
4.1.2019 21:52,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"11,614.89","3,032.97",0,0
4.1.2019 21:53,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-9.76,0,0,0,"11,605.13","3,032.97",0,0
4.1.2019 21:54,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-41.31,0,0,0,"11,563.82","3,032.97",0,0
4.1.2019 21:54,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"11,562.82","3,032.97",0,0
